A,A_print,F,p_star,p_max,PPR,AI,zone,length_cm,width_cm,participant,side,footstep
33.75,96.5,439.725,130.2888888888889,557.0,4.275115128773665,0.2806236080178174,forefoot,26.5,9.0,1,L,87
52.25,113.75,486.725,93.15311004784691,315.0,3.3815296111767417,0.2485207100591716,heel,27.5,9.5,1,R,88
40.0,95.75,505.40000000000003,126.35,652.0,5.160269093787099,0.21375921375921375,forefoot,28.0,9.5,1,L,89
53.0,107.75,431.8,81.47169811320755,259.0,3.1790180639184804,0.22244488977955912,heel,28.0,10.5,1,R,90
49.5,92.25,522.15,105.48484848484847,321.0,3.043091065785694,0.07547169811320754,heel,26.0,9.5,1,R,91
49.5,114.25,452.15000000000003,91.34343434343435,302.0,3.306203693464558,0.2268041237113402,forefoot,27.0,9.0,1,L,92
47.75,93.5,399.875,83.74345549738221,376.0,4.489903094717098,0.1824175824175824,heel,28.0,10.0,1,R,93
44.75,101.0,449.8,100.51396648044694,438.0,4.35760337927968,0.20147420147420148,heel,28.5,9.5,1,L,94
35.25,93.75,383.82500000000005,108.88652482269505,240.0,2.204129486093923,0.2196652719665272,heel,26.0,10.5,1,R,96
52.0,103.25,504.35,96.99038461538463,414.0,4.268464360067413,0.2070393374741201,forefoot,27.0,9.5,1,L,97
47.0,112.5,396.75,84.41489361702126,290.0,3.4354127284184,0.244,heel,28.0,10.5,1,R,98
45.0,90.5,399.90000000000003,88.86666666666669,372.0,4.1860465116279055,0.2119047619047619,forefoot,27.0,9.0,1,L,99
48.75,106.5,444.175,91.11282051282052,454.0,4.98283334271402,0.23541666666666666,toes,27.5,9.5,1,R,100
40.5,95.0,371.25,91.66666666666667,236.0,2.5745454545454542,0.23370786516853934,forefoot,27.0,9.5,1,L,103
71.5,118.0,930.1,130.08391608391608,528.0,4.0589183958714115,0.19264069264069264,heel,26.5,10.5,2,L,0
50.25,104.0,605.7,120.53731343283583,318.0,2.638187221396731,0.18947368421052632,forefoot,28.0,10.5,2,R,1
58.0,106.5,607.85,104.80172413793105,526.0,5.019001398371308,0.18493150684931506,heel,29.0,9.5,2,L,2
54.75,102.0,621.625,113.53881278538813,511.0,4.50066358335009,0.17324561403508773,heel,29.5,9.5,2,R,3
51.0,106.25,899.9000000000001,176.45098039215688,573.0,3.247360817868652,0.1720183486238532,forefoot,28.0,8.5,2,L,4
47.75,107.5,558.125,116.8848167539267,339.0,2.9002911534154534,0.22567287784679088,forefoot,28.5,10.5,2,R,5
49.5,110.0,576.475,116.45959595959596,456.0,3.915521054685806,0.1864754098360656,forefoot,27.0,10.0,2,L,6
47.0,104.0,611.275,130.05851063829786,521.0,4.005889329679768,0.21987315010570824,heel,28.5,10.0,2,R,7
53.5,112.25,631.525,118.04205607476635,462.0,3.9138593088159617,0.19507186858316222,forefoot,29.5,9.5,2,L,8
59.75,108.0,590.625,98.84937238493723,362.0,3.6621375661375666,0.23137254901960785,heel,28.5,10.0,2,R,9
59.75,127.25,861.2,144.13389121338912,489.0,3.3926788202508127,0.198,forefoot,27.5,10.5,2,L,10
